pi,role,total_fte,weighted_fte,num_people,num_allocations
PI 26.4,PM,1.59,1.29,2,3
PI 26.4,Frontend,0.9,0.57,2,2
PI 26.4,Backend,0.9,0.9,2,2
PI 26.4,Geospatial,0.9,0.9,2,2
PI 26.4,Data Curator,0.9,0.9,2,2
PI 26.4,Comms,0.45,0.45,1,1
PI 26.4,ML,0.9,0.66,2,2
PI 26.4,Designer,0.9,0.9,2,2
PI 26.4,Jupyterhub,0.45,0.12,1,1
PI 27.1,PM,1.95,1.2,2,3
PI 27.1,Frontend,1.36,1.36,2,2
PI 27.1,Backend,2.63,2.26,3,4
PI 27.1,Geospatial,1.36,1.36,2,2
PI 27.1,Data Curator,1.36,1.36,2,2
PI 27.1,Comms,0.68,0.68,1,1
PI 27.1,ML,1.36,0.93,2,2
PI 27.1,Designer,1.36,1.36,2,2
PI 27.1,Jupyterhub,0.68,0.35,1,1
PI 27.2,PM,2.58,2.58,3,4
PI 27.2,Frontend,1.26,0.73,2,3
PI 27.2,Backend,3.6,3.4,3,5
PI 27.2,Geospatial,1.68,1.68,2,4
PI 27.2,Data Curator,1.68,1.68,3,4
PI 27.2,Comms,0.84,0.84,1,2
PI 27.2,ML,1.86,1.62,2,3
PI 27.2,Designer,2.1,1.67,3,5
PI 27.2,Jupyterhub,0.84,0.84,1,2
