objective_number,objective_title,objective_repo,issue_number,issue_title,issue_repo,depth,pr_number,pr_title,pr_repo,pr_state,pr_url
1,L3 sub-issue for objective 1,kyle-lesinger/veda-subissue-seed,1,L3 sub-issue for objective 1,kyle-lesinger/veda-subissue-seed,0,4,Close #1 (seed),kyle-lesinger/veda-subissue-seed,CLOSED,https://github.com/kyle-lesinger/veda-subissue-seed/pull/4
1,L3 sub-issue for objective 1,kyle-lesinger/veda-subissue-seed,2,L4 sub-issue for objective 1,kyle-lesinger/veda-subissue-seed,0,5,Close #2 (seed),kyle-lesinger/veda-subissue-seed,MERGED,https://github.com/kyle-lesinger/veda-subissue-seed/pull/5
1,L3 sub-issue for objective 1,kyle-lesinger/veda-subissue-seed,3,L5 sub-issue for objective 1,kyle-lesinger/veda-subissue-seed,0,6,Close #3 (seed),kyle-lesinger/veda-subissue-seed,OPEN,https://github.com/kyle-lesinger/veda-subissue-seed/pull/6
2,L4 sub-issue for objective 1,kyle-lesinger/veda-subissue-seed,2,L4 sub-issue for objective 1,kyle-lesinger/veda-subissue-seed,0,5,Close #2 (seed),kyle-lesinger/veda-subissue-seed,MERGED,https://github.com/kyle-lesinger/veda-subissue-seed/pull/5
2,L4 sub-issue for objective 1,kyle-lesinger/veda-subissue-seed,3,L5 sub-issue for objective 1,kyle-lesinger/veda-subissue-seed,0,6,Close #3 (seed),kyle-lesinger/veda-subissue-seed,OPEN,https://github.com/kyle-lesinger/veda-subissue-seed/pull/6
3,L5 sub-issue for objective 1,kyle-lesinger/veda-subissue-seed,3,L5 sub-issue for objective 1,kyle-lesinger/veda-subissue-seed,0,6,Close #3 (seed),kyle-lesinger/veda-subissue-seed,OPEN,https://github.com/kyle-lesinger/veda-subissue-seed/pull/6
6,[26.3] DSE objective - MVP Portal: Setup hosting infrastructure for Disasters Portal,Disasters-Learning-Portal/disasters-portal,6,[26.3] DSE objective - MVP Portal: Setup hosting infrastructure for Disasters Portal,Disasters-Learning-Portal/disasters-portal,0,,,,,
6,[26.3] DSE objective - MVP Portal: Setup hosting infrastructure for Disasters Portal,Disasters-Learning-Portal/disasters-portal,79,MVP Portal: Deploy setup (main and PR previews),Disasters-Learning-Portal/disasters-portal,1,,,,,
7,[26.3] DSE Objective - Run through all pages and confirmation with Disasters staff,Disasters-Learning-Portal/disasters-portal,7,[26.3] DSE Objective - Run through all pages and confirmation with Disasters staff,Disasters-Learning-Portal/disasters-portal,0,,,,,
8,[26.3] DSE Objective - Create script for User Journey through website,Disasters-Learning-Portal/disasters-portal,8,[26.3] DSE Objective - Create script for User Journey through website,Disasters-Learning-Portal/disasters-portal,0,,,,,
9,[26.3] DSE Objective - Scope feedback delivery mechanisms,Disasters-Learning-Portal/disasters-portal,9,[26.3] DSE Objective - Scope feedback delivery mechanisms,Disasters-Learning-Portal/disasters-portal,0,,,,,
10,[26.3] DSE Objective - Process feedback and present back to ODSI,Disasters-Learning-Portal/disasters-portal,10,[26.3] DSE Objective - Process feedback and present back to ODSI,Disasters-Learning-Portal/disasters-portal,0,,,,,
11,[26.3] DSE Objective - Ingest collections for June MVP,Disasters-Learning-Portal/disasters-portal,11,[26.3] DSE Objective - Ingest collections for June MVP,Disasters-Learning-Portal/disasters-portal,0,,,,,
11,[26.3] DSE Objective - Ingest collections for June MVP,Disasters-Learning-Portal/disasters-portal,12,Ingest Black marble,Disasters-Learning-Portal/disasters-portal,1,,,,,
11,[26.3] DSE Objective - Ingest collections for June MVP,Disasters-Learning-Portal/disasters-portal,16,Ingest OPERA datasets,Disasters-Learning-Portal/disasters-portal,1,,,,,
11,[26.3] DSE Objective - Ingest collections for June MVP,Disasters-Learning-Portal/disasters-portal,17,Ingest Landsat datasets,Disasters-Learning-Portal/disasters-portal,1,,,,,
11,[26.3] DSE Objective - Ingest collections for June MVP,Disasters-Learning-Portal/disasters-portal,18,Ingest Planet datasets,Disasters-Learning-Portal/disasters-portal,1,,,,,
11,[26.3] DSE Objective - Ingest collections for June MVP,Disasters-Learning-Portal/disasters-portal,19,Ingest Sentinel 1 hydrosar,Disasters-Learning-Portal/disasters-portal,1,,,,,
11,[26.3] DSE Objective - Ingest collections for June MVP,Disasters-Learning-Portal/disasters-portal,20,Ingest near-realtime data <placeholder>,Disasters-Learning-Portal/disasters-portal,1,,,,,
11,[26.3] DSE Objective - Ingest collections for June MVP,Disasters-Learning-Portal/disasters-portal,22,Ingest GEDI <placeholder>,Disasters-Learning-Portal/disasters-portal,1,,,,,
11,[26.3] DSE Objective - Ingest collections for June MVP,Disasters-Learning-Portal/disasters-portal,138,Ingest Sentinel 2 True Color sub-daily,Disasters-Learning-Portal/disasters-portal,1,,,,,
11,[26.3] DSE Objective - Ingest collections for June MVP,Disasters-Learning-Portal/disasters-portal,139,Ingest Sentinel 2 mNDWI subdaily,Disasters-Learning-Portal/disasters-portal,1,,,,,
15,[26.3] DSE Objective - Create skeleton draft doc of the STM agenda,Disasters-Learning-Portal/disasters-portal,15,[26.3] DSE Objective - Create skeleton draft doc of the STM agenda,Disasters-Learning-Portal/disasters-portal,0,,,,,
72,Disasters - PI 26.1 Objective #1: Preparation for beta release,Disasters-Learning-Portal/veda-disasters,72,Disasters - PI 26.1 Objective #1: Preparation for beta release,Disasters-Learning-Portal/veda-disasters,0,,,,,
72,Disasters - PI 26.1 Objective #1: Preparation for beta release,Disasters-Learning-Portal/veda-disasters,65,Formal discussion on data processing workflows,Disasters-Learning-Portal/veda-disasters,1,,,,,
72,Disasters - PI 26.1 Objective #1: Preparation for beta release,Disasters-Learning-Portal/veda-disasters,33,Ingest and visualize data for Featured Stories,Disasters-Learning-Portal/veda-disasters,1,,,,,
72,Disasters - PI 26.1 Objective #1: Preparation for beta release,Disasters-Learning-Portal/veda-disasters,32,[Content] Ingest datasets for 202409 Hurricane Helene drcs_activation event,Disasters-Learning-Portal/veda-disasters,2,69,check Helene visualization,Disasters-Learning-Portal/veda-disasters,CLOSED,https://github.com/Disasters-Learning-Portal/veda-disasters/pull/69
72,Disasters - PI 26.1 Objective #1: Preparation for beta release,Disasters-Learning-Portal/veda-disasters,34,[Content] Create markdown files for 202409 Hurricane Helene drcs_activation event,Disasters-Learning-Portal/veda-disasters,2,,,,,
72,Disasters - PI 26.1 Objective #1: Preparation for beta release,Disasters-Learning-Portal/veda-disasters,37,[Content]   Event card gallery prototype - 202409 Hurricane Helene,Disasters-Learning-Portal/veda-disasters,2,41,Hurricane Helene markdown visualizations and Event story,Disasters-Learning-Portal/veda-disasters,CLOSED,https://github.com/Disasters-Learning-Portal/veda-disasters/pull/41
