objective_number,objective_title,objective_repo,issue_number,issue_title,issue_repo,depth,pr_number,pr_title,pr_repo,pr_state,pr_url
26,[AQ] PI 26.3 Objective 6: Incorporate new data into AIR4US,Air-Quality-Portal/aq-arch,26,[AQ] PI 26.3 Objective 6: Incorporate new data into AIR4US,Air-Quality-Portal/aq-arch,0,,,,,
26,[AQ] PI 26.3 Objective 6: Incorporate new data into AIR4US,Air-Quality-Portal/aq-arch,22,Investigate options for leveraging agency partner GIS services,Air-Quality-Portal/aq-arch,1,,,,,
26,[AQ] PI 26.3 Objective 6: Incorporate new data into AIR4US,Air-Quality-Portal/aq-arch,64,Investigate Requirements for AQS Surface Air Quality Monitor Data,Air-Quality-Portal/aq-arch,1,,,,,
26,[AQ] PI 26.3 Objective 6: Incorporate new data into AIR4US,Air-Quality-Portal/aq-arch,65,Investigate Requirements for AirNow Surface Air Quality Monitor Data,Air-Quality-Portal/aq-arch,1,,,,,
26,[AQ] PI 26.3 Objective 6: Incorporate new data into AIR4US,Air-Quality-Portal/aq-arch,66,Investigate Requirements for TEMPO Data,Air-Quality-Portal/aq-arch,1,,,,,
26,[AQ] PI 26.3 Objective 6: Incorporate new data into AIR4US,Air-Quality-Portal/aq-arch,68,Draft google doc Content Templates for Dataset Landing Page and Tool Catalog Card,Air-Quality-Portal/aq-arch,1,,,,,
26,[AQ] PI 26.3 Objective 6: Incorporate new data into AIR4US,Air-Quality-Portal/aq-arch,69,Draft Tool Entry Content,Air-Quality-Portal/aq-arch,1,,,,,
26,[AQ] PI 26.3 Objective 6: Incorporate new data into AIR4US,Air-Quality-Portal/aq-arch,93,Draft Landing Page for TEMPO NO2 Dataset,Air-Quality-Portal/aq-arch,1,,,,,
26,[AQ] PI 26.3 Objective 6: Incorporate new data into AIR4US,Air-Quality-Portal/aq-arch,94,Draft Landing Page for TEMPO HCHO Dataset,Air-Quality-Portal/aq-arch,1,,,,,
26,[AQ] PI 26.3 Objective 6: Incorporate new data into AIR4US,Air-Quality-Portal/aq-arch,95,Draft Landing Page for AQS Dataset,Air-Quality-Portal/aq-arch,1,,,,,
26,[AQ] PI 26.3 Objective 6: Incorporate new data into AIR4US,Air-Quality-Portal/aq-arch,101,Integrate GEOS-CF virtual data store with AIR4US catalog / viz tool,Air-Quality-Portal/aq-arch,1,,,,,
31,[Sc] PI 26.3 Objective 1: Hub Upgrades,NASA-IMPACT/science-support,31,[Sc] PI 26.3 Objective 1: Hub Upgrades,NASA-IMPACT/science-support,0,,,,,
31,[Sc] PI 26.3 Objective 1: Hub Upgrades,NASA-IMPACT/science-support,206,Replace Pre-commit with Prek?,NASA-IMPACT/veda-analytics,1,,,,,
31,[Sc] PI 26.3 Objective 1: Hub Upgrades,NASA-IMPACT/science-support,61,Add Rclone to images?,NASA-IMPACT/pangeo-notebook-veda-image,1,,,,,
31,[Sc] PI 26.3 Objective 1: Hub Upgrades,NASA-IMPACT/science-support,62,"Update xarray, icechunk, zarr",NASA-IMPACT/pangeo-notebook-veda-image,1,,,,,
31,[Sc] PI 26.3 Objective 1: Hub Upgrades,NASA-IMPACT/science-support,1274,Add Rclone to images,MAAP-Project/Community,1,,,,,
31,[Sc] PI 26.3 Objective 1: Hub Upgrades,NASA-IMPACT/science-support,1271,Upgrade gdal and pdal next R release ,MAAP-Project/Community,1,,,,,
31,[Sc] PI 26.3 Objective 1: Hub Upgrades,NASA-IMPACT/science-support,1252,Increase efficiency of R image build,MAAP-Project/Community,1,,,,,
31,[Sc] PI 26.3 Objective 1: Hub Upgrades,NASA-IMPACT/science-support,1275,Upgrade nodejs R image,MAAP-Project/Community,1,,,,,
31,[Sc] PI 26.3 Objective 1: Hub Upgrades,NASA-IMPACT/science-support,1267,Problems with R CRAN rgee package ,MAAP-Project/Community,1,,,,,
31,[Sc] PI 26.3 Objective 1: Hub Upgrades,NASA-IMPACT/science-support,2,Basic lasR image for ALS processing,GEO-TREES/workspace_images,1,,,,,
31,[Sc] PI 26.3 Objective 1: Hub Upgrades,NASA-IMPACT/science-support,210,Enable External Demo Access & Serveable Panel Application for Demo,NASA-IMPACT/veda-analytics,1,,,,,
31,[Sc] PI 26.3 Objective 1: Hub Upgrades,NASA-IMPACT/science-support,47,Build a Roadmap for Images,NASA-IMPACT/science-support,1,,,,,
31,[Sc] PI 26.3 Objective 1: Hub Upgrades,NASA-IMPACT/science-support,48,R 4.6 upgrade,NASA-IMPACT/science-support,1,,,,,
31,[Sc] PI 26.3 Objective 1: Hub Upgrades,NASA-IMPACT/science-support,49,lasR > 0.20,NASA-IMPACT/science-support,1,,,,,
31,[Sc] PI 26.3 Objective 1: Hub Upgrades,NASA-IMPACT/science-support,50,MAAP OGC App Pack API,NASA-IMPACT/science-support,1,,,,,
31,[Sc] PI 26.3 Objective 1: Hub Upgrades,NASA-IMPACT/science-support,59,Add rio-tiler,NASA-IMPACT/pangeo-notebook-veda-image,1,69,add rio-tiler as dependency,NASA-IMPACT/pangeo-notebook-veda-image,MERGED,https://github.com/NASA-IMPACT/pangeo-notebook-veda-image/pull/69
31,[Sc] PI 26.3 Objective 1: Hub Upgrades,NASA-IMPACT/science-support,73,Enable Dependabot Security Updates,NASA-IMPACT/pangeo-notebook-veda-image,1,,,,,
31,[Sc] PI 26.3 Objective 1: Hub Upgrades,NASA-IMPACT/science-support,58,Release R image to VEDA,NASA-IMPACT/science-support,1,,,,,
32,[Sc] PI 26.3 Objective 2: Cloud Optimized Workflows,NASA-IMPACT/science-support,32,[Sc] PI 26.3 Objective 2: Cloud Optimized Workflows,NASA-IMPACT/science-support,0,,,,,
32,[Sc] PI 26.3 Objective 2: Cloud Optimized Workflows,NASA-IMPACT/science-support,13,Cloud Optimized reading of LIDAR data in R,NASA-IMPACT/science-support,1,,,,,
